                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0598,                 1.6531,                  1.446,                 0.7507,                0.72937,                0.78976,                0.54576,                 1.0888,                 1.2588,                 1.5019,               0.070163,              0.0033152,              0.0033152
                      1,                0.96406,                 1.0127,                 1.3376,                0.78623,                0.74651,                0.81891,                0.55108,                 1.1102,                 1.1569,                 1.5666,               0.040097,              0.0065827,              0.0065827
                      2,                 1.0219,                  1.003,                  1.376,                0.74417,                0.67492,                0.74567,                0.49492,                 1.3457,                 1.3668,                 1.8746,              0.0099654,              0.0097842,              0.0097842
                      3,                 1.0541,                 1.0168,                 1.4012,                 0.8569,                0.57426,                0.69889,                 0.4314,                 1.5149,                 1.4531,                 1.9526,               0.009703,               0.009703,               0.009703
                      4,                 1.0409,                0.95483,                 1.3979,                0.82371,                0.72937,                0.80765,                0.54969,                 1.1686,                 1.0702,                 1.6679,               0.009703,               0.009703,               0.009703
                      5,                 1.0239,                0.93063,                 1.3766,                0.81354,                0.72277,                0.79562,                0.56032,                 1.1556,                 1.0169,                 1.5908,               0.009604,               0.009604,               0.009604
                      6,                0.98662,                0.87996,                 1.3481,                0.81975,                0.72112,                0.79044,                0.55546,                  1.095,                0.99474,                 1.5395,               0.009505,               0.009505,               0.009505
                      7,                0.96233,                0.83894,                 1.3298,                0.83394,                0.75578,                0.81446,                 0.5898,                 1.0433,                0.95331,                 1.4945,               0.009406,               0.009406,               0.009406
                      8,                0.94803,                0.81595,                 1.3253,                0.81233,                0.75712,                0.82495,                0.59722,                 1.0548,                0.92331,                 1.5554,               0.009307,               0.009307,               0.009307
                      9,                0.92784,                0.81186,                 1.3135,                0.88942,                0.75743,                0.85132,                0.63184,                0.98497,                0.84927,                 1.4366,               0.009208,               0.009208,               0.009208
                     10,                0.91624,                0.77726,                 1.2963,                0.88623,                0.77124,                0.86198,                 0.6328,                0.97676,                 0.8275,                 1.4514,               0.009109,               0.009109,               0.009109
                     11,                0.89526,                0.75586,                 1.2859,                0.87727,                0.76568,                 0.8546,                0.64404,                 0.9629,                0.84621,                 1.4398,                0.00901,                0.00901,                0.00901
                     12,                0.88858,                0.73891,                  1.281,                 0.9013,                 0.7836,                0.87729,                0.64864,                0.96993,                 0.7945,                  1.428,               0.008911,               0.008911,               0.008911
                     13,                0.88426,                0.72539,                 1.2695,                0.90035,                0.79373,                 0.8761,                0.65242,                0.96731,                0.77163,                 1.4284,               0.008812,               0.008812,               0.008812
                     14,                0.85314,                0.70112,                 1.2563,                0.91437,                0.74257,                0.85697,                0.63824,                0.94136,                0.81465,                 1.4353,               0.008713,               0.008713,               0.008713
                     15,                0.84913,                0.69736,                 1.2475,                0.84554,                0.79538,                0.85146,                0.64614,                0.93933,                0.80847,                  1.431,               0.008614,               0.008614,               0.008614
                     16,                0.84877,                0.68919,                 1.2478,                  0.883,                0.79705,                0.86749,                0.65458,                0.94102,                0.76971,                 1.4082,               0.008515,               0.008515,               0.008515
                     17,                0.84186,                 0.6982,                 1.2431,                0.86375,                0.79505,                0.87426,                0.67001,                0.88751,                0.72753,                 1.3525,               0.008416,               0.008416,               0.008416
                     18,                0.82131,                0.65943,                 1.2247,                0.87319,                0.80198,                0.87245,                0.66782,                0.93868,                0.75684,                 1.4359,               0.008317,               0.008317,               0.008317
                     19,                 0.8179,                0.66268,                 1.2233,                0.93152,                0.77723,                0.89106,                0.68395,                0.88583,                 0.6979,                 1.3567,               0.008218,               0.008218,               0.008218
                     20,                0.79835,                0.64148,                 1.2114,                0.89506,                0.77228,                0.85333,                0.66172,                0.89474,                0.75962,                 1.3922,               0.008119,               0.008119,               0.008119
                     21,                  0.813,                0.65714,                 1.2226,                0.90206,                0.77516,                0.87865,                0.67834,                0.87662,                0.72182,                 1.3403,                0.00802,                0.00802,                0.00802
                     22,                0.79849,                0.63599,                 1.2058,                0.86444,                0.83129,                  0.885,                0.67631,                0.89058,                0.70698,                 1.3704,               0.007921,               0.007921,               0.007921
                     23,                0.78569,                0.62453,                 1.1998,                0.84868,                0.83294,                0.88613,                0.69204,                0.85226,                0.67475,                 1.3193,               0.007822,               0.007822,               0.007822
                     24,                0.76961,                0.60744,                 1.1957,                0.87891,                0.81518,                0.89253,                0.68224,                0.90251,                0.68054,                 1.3692,               0.007723,               0.007723,               0.007723
                     25,                0.78132,                 0.6073,                 1.1965,                0.90923,                0.78878,                0.88851,                 0.6897,                0.88525,                0.69158,                 1.3295,               0.007624,               0.007624,               0.007624
                     26,                0.77668,                0.61178,                 1.1962,                0.91394,                0.77107,                0.88545,                0.68446,                0.84515,                0.73362,                 1.3191,               0.007525,               0.007525,               0.007525
                     27,                0.74962,                0.58416,                 1.1773,                0.92925,                0.80198,                0.89614,                0.70083,                0.87589,                0.65753,                 1.3382,               0.007426,               0.007426,               0.007426
                     28,                0.75573,                0.58927,                 1.1827,                0.90237,                0.79314,                0.88501,                0.69322,                0.84953,                0.64339,                 1.3276,               0.007327,               0.007327,               0.007327
                     29,                0.74429,                0.58179,                 1.1705,                0.88818,                0.83333,                0.89753,                0.70783,                0.85205,                0.65474,                 1.3261,               0.007228,               0.007228,               0.007228
                     30,                0.73603,                0.58166,                 1.1704,                0.92824,                0.79538,                0.90374,                0.71628,                 0.8232,                0.63921,                 1.2798,               0.007129,               0.007129,               0.007129
                     31,                0.73569,                0.57149,                 1.1696,                0.88474,                  0.836,                  0.907,                0.72245,                0.80686,                0.63555,                 1.2819,                0.00703,                0.00703,                0.00703
                     32,                0.74589,                0.57655,                 1.1725,                0.90676,                0.82343,                0.89725,                0.70083,                0.82748,                0.67159,                 1.2971,               0.006931,               0.006931,               0.006931
                     33,                0.73238,                 0.5731,                 1.1664,                0.91279,                0.82838,                0.90092,                0.71555,                0.82353,                0.62335,                 1.2864,               0.006832,               0.006832,               0.006832
